store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,fit_size,price,special_price,weight,msrp,manufacturer,status,is_recurring,visibility,tax_class_id,volume_comprimento,volume_altura,volume_largura,posting_days,description,short_description,meta_keyword,custom_layout_update,postmethods,product_shipping,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,website,_media_image,_media_lable,_media_position,_media_is_disabled
admin,base,,simple,"370,371,373,374",BR1342101,0,Cachepot Vela Craquelado Caramelo,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,27.90,,0.21,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,7,7,7,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0034,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",BR1341135,0,Estante madeira com porta 2 partes ,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,9132.90,,137.5,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,48,226,127,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0035,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",BR134158,0,Cadeira alumínio ,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,122.90,,2.42,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,0.72,0,"0,53",,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0036,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",LO134167,0,Mesa Singer madeira base em aço,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,5282.90,,29.7,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,79,86,51,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0037,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",BR134158,0,Cadeira alumínio preta,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,152.90,,2.42,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,0.74,0,"0,55",,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0038,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",CD1341134,0,Cômoda Mad ,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,4577.90,,24.75,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,76,98,40,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0039,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",LO1343146,0,Cabide ferro ,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,217.90,,771.00,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,54,31,18,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0040,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",LO13421361,0,Suporte para parede gancho ferro ,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,207.90,,749.00,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,29,20,4,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0041,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",LO13421362,0,Suporte para parede gancho ferro ,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,72.90,,352.00,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,15,51,4,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0042,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",LO134292,0,Conjunto de 3 ferramentas e suporte ferro,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,569.90,,2.42,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,37,21,6,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0043,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",LO1343146,0,Suporte para parede ferro 3 ganchos,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,82.90,,364.00,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,12,15,6,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0044,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",AL134292,0,Ventilador metal,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,537.90,,826.00,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,15,23,15,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0045,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",AL1342134,0,Cômoda Mad Mug,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,8802.90,,53.9,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,115,100,40,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0046,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",CD1341135,0,Cristaleira Mad Mug,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,17997.90,,96.03,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,120,210,40,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0047,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",BR134284,0,Lanterna Lilás ,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,49.90,,169.00,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,6,11,6,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0048,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",BR1342841,0,Lanterna Vermelha,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,49.90,,169.00,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,6,11,6,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0049,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",BR1342842,0,Lanterna Laranja,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,49.90,,169.00,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,6,11,6,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0050,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
admin,base,,simple,"370,371,373,374",BR1342843,0,Lanterna Rosa,,,,,,,,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,,,Utilizar configuração,Utilizar configuração,Não,,49.90,,169.00,,Vênus Victrix,Habilitado,Não,"Catálogo, Busca",Nenhum,6,11,6,,,,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0051,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,,,simple,,,,,,,
